,tt1843866,tt1375666,tt1504320,tt1074638,tt1951264,tt2084970,tt2096673,tt1201607,tt1853728,tt3659388,tt1170358,tt2582802,tt0993846,tt2395427,tt1392214,tt1663202,tt0848228,tt2267998,tt3501632,tt1431045,tt1270798,tt0770828,tt4154796,tt1045658,tt0903624,tt1631867,tt0800369,tt1228705,tt0947798,tt2488496,tt1392170,tt0435761,tt2975590,tt0816711,tt0458339,tt1675434,tt7286456,tt1130884,tt2024544,tt4154756,tt1285016,tt1386697,tt1981115,tt0892769,tt1670345,tt2802144,tt1392190,tt3498820,tt1825683,tt1877832,tt3315342,tt2015381,tt1300854,tt2278388,tt2543164,tt1211837,tt1345836,tt0454876,tt0816692,tt1454468
tt1170358,0.5829208311996944,0.03701945744206278,-0.4496436394415121,0.7621840747000832,0.7332483444528716,0.47925054485616747,0.4406062489615759,0.4270036852176415,0.3671879232971811,0.7260384819785292,1.0,0.5062088472452859,0.5990232693033088,0.15120356137739088,0.4362594588255531,-0.11796047877893798,0.39013737303207424,-0.5146165386207235,0.3294979272099534,0.25921870357000776,-0.028888492505839143,-0.057252180475582795,0.8282444313785124,0.5119019403389852,0.7842803880681302,0.8363291656883916,0.40353206503022776,0.5293546268827386,-0.508123449267816,-0.4454680356194164,0.25258035355065406,0.5766433679374526,0.03292324844849122,0.7928579550166683,0.5960547127150324,0.5454207443746334,-0.8665083521025015,0.5249603670655857,0.6640630059443213,0.5431903203333223,0.5233554361951184,-0.6292159716097628,0.8364538603202109,0.6474513336308751,0.78794610031115,0.2524243448372942,0.7489824651548637,-0.11019017619378822,0.05332791613824002,0.6949148941503172,0.06782220518221316,0.6550967967854249,0.6594082829788281,0.4910643271516916,0.09015654056868658,0.36880813092749315,0.6793078420293713,0.7120223107267932,0.66889893210326,0.11518564241783169
tt2582802,0.8635627368434,0.04249484512343356,-0.35929043467004224,0.05012212759649003,0.7113816010456776,0.3953237450995802,0.16777545481175818,0.7973144545526291,0.5000417710008361,0.7203905885436669,0.5062088472452859,1.0000000000000002,0.9129695357193426,0.3086589005762158,-0.23870950358683352,0.10244768908435392,0.8235763862997589,-0.24766792142292,0.5589940452983314,0.38966054785913123,-0.5402784380293635,0.6291253020259775,0.5488455134482824,0.2684391503424701,0.40601666848615936,0.7214212212037996,0.2529246450890455,0.4274552136598121,-0.7339334536305959,-0.7312551404657043,0.23825674736649374,0.7540026906118625,0.2417523299020756,0.7612256164751066,0.9535443112319058,0.7238101062982951,-0.4448043441572952,0.060476809136920336,0.8633892951756907,0.830026028176041,0.6418020508653047,0.0145794485788191,0.8415959754275524,0.815245441584439,0.8839448518659868,0.36960779952343736,0.8691832684587201,0.0521888943783563,0.7385908227002224,0.8543098472555775,0.23459832759466828,0.9415345611154503,0.9711377981520072,0.7902343877456981,0.7673853394682483,0.42982729177076895,0.8071288641221508,0.7411147654595629,0.8792055342665324,0.2303569623756916
tt0993846,0.9791780129669162,0.26251832130968783,-0.21969087885315738,0.30149759395923087,0.859450375225875,0.594278500331964,0.4590901906731294,0.5293344743232296,0.5851760716688775,0.8327281688995964,0.5990232693033088,0.9129695357193426,1.0,0.5424957700580954,-0.0850411680072835,0.02310426093412782,0.9252636055083714,-0.5095117472511874,0.7270416037783279,0.6632743215465061,-0.21316311151216613,0.7260042546773946,0.456464414520777,0.5412055310669386,0.28438559061741175,0.9017266307205867,0.5503244753899744,0.6366548301297318,-0.633274472856646,-0.6075466081566432,0.4734546298834479,0.8775563427461377,0.4552407060706908,0.9139068411160266,0.8481602928931472,0.4589403906316187,-0.44938040139958685,0.2847577431551826,0.8654839394289827,0.8316756218796441,0.8101740244360595,-0.34217593527453816,0.9026089376292028,0.7327670013283529,0.8957652698698693,0.06820066563969221,0.9714888096230785,-0.3422753881656458,0.7928368858275694,0.9463308202979867,0.4929761358334299,0.9253857917583319,0.8866821486296697,0.9327557321056276,0.5874183807530848,0.520146170778002,0.9073337374750375,0.8541153214885638,0.9363217318884994,0.5038583417190562
tt2395427,0.6912042919549106,0.7803897516882374,0.6843422188178289,0.3675221103129715,0.4291902612859397,0.8495541415632647,0.8983904812853439,-0.30274478438433944,-0.040407739302129805,0.561572721922621,0.15120356137739088,0.3086589005762158,0.5424957700580954,1.0000000000000002,0.32297885622108286,-0.6437818286348519,0.7366306245447266,-0.5131426763381471,0.8328718272816741,0.9123112557645356,0.5276636986472852,0.7742330613951938,0.13088482380689434,0.8965148353688642,-0.3719184135173604,0.5656083230902771,0.9139556430231514,0.4795446205066528,-0.32894339758529784,0.18751276557333826,0.9593881718432107,0.7410133593565754,0.9365988822316923,0.5795526631046454,0.2836972942617278,-0.313381502016852,0.13709882712927546,0.6028211430516959,0.09565577001798045,0.23533458632544269,0.8536249926226345,-0.5110459964064661,0.4564462665676714,0.3430778353551235,0.44792340675062625,-0.615466275840727,0.4223037788859375,-0.7661770118301579,0.7364288726768538,0.6185530758075072,0.9914288544106556,0.47759872981984286,0.19718694764526853,0.6882806888942733,0.23320344597283238,0.6064823753057058,0.6592116069476021,0.612126840987249,0.6148564004892944,0.9385806263084999
tt1392214,0.03849068621797574,0.05555395592439707,0.32698474015397105,0.8463417438662675,0.2941084416110599,0.6562663954721483,0.5756868892900419,-0.3427605920738025,-0.5917556385289429,0.4410621082274714,0.4362594588255531,-0.23870950358683352,-0.0850411680072835,0.32297885622108286,1.0000000000000002,-0.7852649028605965,0.04458676982026748,-0.6294229061573324,0.38821892143994513,0.3552914173647123,0.7094574725585568,-0.22579859280927286,0.48877141106407046,0.583776904499223,0.31910347565820724,0.270365975847405,0.37614001140334824,-0.14757646474559483,-0.3573986958203775,0.12233130369703456,0.5657388425878064,0.3322812775178059,0.41610648597092414,0.31191394513901555,0.012794150363799505,-0.23813662780992562,-0.45018327074311787,0.910392904144547,-0.11750836512700491,-0.4280833227911532,0.406572532246268,-0.5006620193732517,0.26443839645975437,0.31744726417722624,0.22126330482435871,-0.05551953285974302,-0.023663609234279646,-0.3072702007900164,-0.16697433986055552,0.22029907194526732,0.2977882031054308,0.09644547929015361,-0.10654481501859693,0.12810344779971086,-0.0954912499215959,0.6187766170215778,0.3121783227772944,0.41894404552331516,0.20044495268691326,0.1282737181843524
tt1663202,-0.16585168859740887,-0.41775891955807304,-0.7386816075878563,-0.4835261652220432,-0.08735950025193132,-0.7372762309341772,-0.6928302237290986,0.372803347733417,0.702967481876415,-0.35309367417883775,-0.11796047877893798,0.10244768908435392,0.02310426093412782,-0.6437818286348519,-0.7852649028605965,0.9999999999999999,-0.23165211933443988,0.3621043132586503,-0.5258088454840856,-0.4832829377048587,-0.6244338926284004,-0.16454668794792063,-0.3926224915543046,-0.6866412358907117,0.08426001100463705,-0.16367166576807937,-0.5420299379093616,0.09612601313710079,0.39788943227527185,-0.3439773777213445,-0.7823942475560935,-0.41584228243283816,-0.6835560771254173,-0.22132977415795796,-0.07614688738366593,0.2797656746241378,0.0008328008801133011,-0.7602459654280666,0.3076310090188156,0.33932457643036407,-0.5407488582443746,0.2734712667357653,-0.19320069185937666,-0.3380820410778386,-0.2161819087523471,0.2821863641209767,0.09261778292054071,0.3067742172831421,-0.19180489979688348,-0.25257083592252644,-0.6057381453682626,-0.1781655431153978,0.1100860724202735,-0.19110974060615396,-0.11599471556839612,-0.6268463704723524,-0.3505059960128952,-0.37780086518951406,-0.2807274861071694,-0.4433638449489987
tt0848228,0.9571062239493208,0.32399225683948507,0.09296453456731042,0.2856559485112626,0.8134543020054326,0.7622205697664908,0.561251248055395,0.3435312620897792,0.2939567961394569,0.8525923577537629,0.39013737303207424,0.8235763862997589,0.9252636055083714,0.7366306245447266,0.04458676982026748,-0.23165211933443988,1.0,-0.6038493096933644,0.9107043493484249,0.8379919203527469,-0.007577602724087525,0.8796520182050047,0.3524066870084896,0.6343753352339437,0.07712185898939683,0.799028072307143,0.6165832446327407,0.4462149737289166,-0.7101183487541555,-0.5048557349331583,0.690503334502135,0.9505862136779464,0.72971391379592,0.8609387488710274,0.7965223681442871,0.22937395571668232,-0.2840940370244084,0.4317714756433015,0.7054132072404593,0.6032156013636568,0.9188931002921971,-0.2548007650732152,0.8146975317533881,0.7424781996003584,0.8226959490938384,-0.03923979242517973,0.8254470354635154,-0.4620839729989108,0.935367192193531,0.9300523420258301,0.704095421696001,0.8882083507113965,0.756445462103883,0.9805799796352879,0.7055963321295277,0.7242110421685704,0.9258697715224588,0.8799196502688837,0.9289197889327484,0.6180295935919675
tt2267998,-0.5498720640546418,-0.011741354041086722,-0.05963358715792678,-0.8177515494967146,-0.8341819001584724,-0.7994418316029657,-0.5898876165951907,0.09358466714548365,0.04047032943222996,-0.8145991329061114,-0.5146165386207235,-0.24766792142292,-0.5095117472511874,-0.5131426763381471,-0.6294229061573324,0.3621043132586503,-0.6038493096933644,0.9999999999999998,-0.7911803123417467,-0.7824259713646431,-0.5513142527321,-0.3356076781274987,-0.2925419416702512,-0.6387737237653619,-0.27791837190775537,-0.6788175033763423,-0.5077622571857133,-0.1299965097603111,0.5343109675551252,0.39191883578620496,-0.6572005772357477,-0.7394758693797067,-0.6473457146094902,-0.7468569158056028,-0.37994260810643293,0.177858399475205,0.5824421920767622,-0.852994868564254,-0.4956107022458682,-0.01883755204073148,-0.7336881179526762,0.5700722099414456,-0.6150062161150934,-0.5134123581748006,-0.5375997253963347,0.036029489781579035,-0.5272215366006651,0.6513950322331225,-0.38793711757697097,-0.6590141396354432,-0.5258504831677683,-0.4907825335161059,-0.33323497979168437,-0.7254202729321696,-0.2743027689805209,-0.8281966204262389,-0.70396699353088,-0.7868971687960462,-0.598970529189017,-0.34355222897633214
tt3501632,0.8134943102271897,0.3229019534379631,0.34045601523830005,0.49474538972179916,0.7743618306034453,0.9288074482760331,0.704532594445398,0.04898371387052461,-0.04865093431853661,0.8633439539370287,0.3294979272099534,0.5589940452983314,0.7270416037783279,0.8328718272816741,0.38821892143994513,-0.5258088454840856,0.9107043493484249,-0.7911803123417467,1.0,0.9440221533021704,0.35192183204021604,0.7822951730698063,0.32256467205131,0.7609309115293948,0.01366969294417771,0.7090417741319889,0.6802952081557545,0.24402041293126764,-0.7123256354707966,-0.3408236401499964,0.872905680543901,0.9428083270474479,0.9069409719642856,0.79926270047538,0.6203259023357758,-0.05673947760561389,-0.27488533144514665,0.7172136046176054,0.4895201292973244,0.2537348566109289,0.9574686606274694,-0.3472820831060505,0.7068471199443276,0.6894189031866691,0.6985639773826091,-0.14393269040880377,0.6226325429467698,-0.6108491026648066,0.830711132542151,0.8397431461863726,0.8179898547850389,0.7389279177029928,0.517734439412006,0.9148489657943827,0.6104175699476452,0.9055265867406258,0.880397245772675,0.8805076395949225,0.8289072380091891,0.6421194458380031
tt1431045,0.7632743422776601,0.521771330559917,0.45771125120994477,0.5101610291129494,0.6890593527060369,0.8921750103488892,0.8142716619871972,-0.20414801934666207,0.050657066017418095,0.7387486466033462,0.25921870357000776,0.38966054785913123,0.6632743215465061,0.9123112557645356,0.3552914173647123,-0.4832829377048587,0.8379919203527469,-0.7824259713646431,0.9440221533021704,1.0000000000000002,0.5316124252484171,0.7862936817133995,0.11755231895617899,0.837562861264121,-0.1978110725495542,0.6866444194494856,0.8204079687554767,0.4015661006095979,-0.4486759135452185,-0.11449106184795513,0.9129726123800496,0.8489347939897758,0.9375898161056169,0.7323474361312009,0.39365848883586674,-0.2924207376261393,-0.11009547741975435,0.6952573224405915,0.35337861679143134,0.2350631807417557,0.9081270593030065,-0.537003309175925,0.5792756131980812,0.44544843780288795,0.540883672656789,-0.435824119950365,0.5682146543625907,-0.8331786410768279,0.7746493216281333,0.7343784808346341,0.9233272812895407,0.5691246441693097,0.3268203293937611,0.8524623325282027,0.3512058889551872,0.7613300256365789,0.7703226907648297,0.7624446819398549,0.7028215848903451,0.8095553339434102
